place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
nakhatrana,535.45,13666.57,0.0,11429.52,14251.72,1431.27574394464,safe,198360.0,0.0,177031.0,2024
kalyanpur,878.18,17322.63,0.0,15353.79,11087.64,1431.27574394464,safe,154302.8287801,0.0,136573.709089997,2024
rajkot urban,969.45,2341.8,0.0,2341.8,1.84,1431.27574394464,safe,16817.4609714,0.0,16817.4609714,2024
dehgam,825.73,17369.15,0.0,17369.15,28352.35,1431.27574394464,over_exploited,62269.6324087,0.0,62269.6324087,2024
nizar,922.0,3329.51,0.0,3329.51,2089.4,1431.27574394464,safe,24927.7808679,0.0,24920.7808679,2024
poshina,921.36,5961.25,0.0,5961.25,2382.05,1431.27574394464,safe,41142.9601035,0.0,37297.9601035,2024
anklav,817.0,11913.83,0.0,11913.83,3145.48,1431.27574394464,safe,18185.0099025,0.0,18185.0099025,2024
rana and kutch,0.0,7432.71143085545,3096.13627811499,4280.6680785216,4404.62606885064,1431.27574394464,Hilly Area,0.0,0.0,0.0,2024
limbdi,620.0,12981.0,0.0,3163.48,2532.39,1431.27574394464,safe,116536.8661051,0.0,16293.2542204305,2024
khambha,731.0,12071.21,0.0,12071.21,5361.21,1431.27574394464,safe,60140.836317,0.0,60140.836317,2024
sihor,630.0,16685.62,0.0,16685.62,6208.25,1431.27574394464,safe,72211.6167488,0.0,72211.6167488,2024
rajula,864.82,5859.67,0.0,4332.4,4930.2,1431.27574394464,semi_critical,84760.0,0.0,61861.0,2024
nasvadi,921.0,9561.89,0.0,9561.89,2923.63,1431.27574394464,safe,52671.1887249,0.0,46859.1887249,2024
upleta,852.18,14243.36,0.0,14243.36,10323.16,1431.27574394464,semi_critical,79876.8505718,0.0,79876.8505718,2024
