place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
mhasala,2956.16089,1337.116786,1200.177276,136.9395107,531.6473844,511.0515466,safe,275,14555,14830,2022,Unknown
tala,3081.393337,709.3996216,632.4969214,76.9027002,254.598263,234.1004617,safe,646,7548,8194,2022,Unknown
sakri,541.1371887,20769.68099,13997.59564,6772.085348,9653.9653,6735.78679,safe,17965,178802,196767,2022,Unknown
ajara,1671.013935,8313.487528,8313.487528,3414.604293,3582.549765,3582.549765,safe,0,40265.21,40265.21,2022,Gujarat
khuldabad,756.2663526,5901.627839,4639.474327,1262.153512,4019.69078,3034.105874,semi_critical,3180,40544,43724,2022,Unknown
warud,901.477806,11921.13653,10490.34653,1430.79,16077.0539,13108.4639,over_exploited,3219,65313,68532,2022,Unknown
nagar,616.6520157,12958.97388,12641.21388,3414.604293,8005.092106,8005.092106,safe,0,126063.49,131868,2022,Andhra Pradesh
jalna,643.3243083,11394.16381,10739.99381,654.17,6996.954176,6681.314176,safe,2789,121103.18,123892.18,2022,Unknown
nandgaon,669.3711118,10640.59413,10341.58413,299.01,5959.367416,5847.407416,safe,2012,106444,108456,2022,Chhattisgarh
armori,1445.364048,9365.187722,8230.022506,1135.165215,2761.752999,2590.315516,safe,3295,60198.87,63493.87,2022,Unknown
deulgaon raja,782.0573485,5914.564097,5368.813432,545.7506645,4341.979426,4018.87433,semi_critical,2389,42477,44866,2022,Unknown
ambejogai,741.4233875,10597.91369,9669.453969,928.4597205,5388.110093,5156.272791,safe,2207,87653,89860,2022,Unknown
namchi,2203.5,3340.79,3340.79,0,216.56,216.56,safe,0,28000,73130,2022,Unknown
mangan,2041.7,1223.48,1223.48,0,79.26,79.26,safe,0,9800,28988,2022,Unknown
